10.10.120.139, 2017-03-26 19:01:21, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.094000
10.10.120.139, 2017-03-26 19:01:21, GET, /admin/default/index, HTTP/1.1, 200, 0.444000
10.10.120.139, 2017-03-26 19:01:21, GET, /UGC/appadmin/hooks, HTTP/1.1, 303, 2.015000
10.10.120.139, 2017-03-26 19:01:21, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.078000
10.10.120.139, 2017-03-26 19:01:21, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.122000
10.10.120.139, 2017-03-26 19:01:21, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.122000
10.10.120.139, 2017-03-26 19:01:21, GET, /admin/default/index.load, HTTP/1.1, 404, 0.232000
10.10.120.139, 2017-03-26 19:01:21, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.141000
10.10.120.139, 2017-03-26 19:01:21, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.141000
10.10.120.139, 2017-03-26 19:01:21, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.156000
10.10.120.139, 2017-03-26 19:01:22, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.250000
10.10.120.139, 2017-03-26 19:01:22, GET, /admin/default/index.load, HTTP/1.1, 404, 0.296000
10.10.120.139, 2017-03-26 19:01:22, GET, /admin/default/index, HTTP/1.1, 200, 0.700000
10.10.120.139, 2017-03-26 19:01:22, GET, /admin/default/index, HTTP/1.1, 200, 0.662000
10.10.120.139, 2017-03-26 19:01:22, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.193000
10.10.120.139, 2017-03-26 19:01:22, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.193000
10.10.120.139, 2017-03-26 19:01:22, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.193000
10.10.120.139, 2017-03-26 19:01:22, GET, /admin/default/index, HTTP/1.1, 200, 0.703000
10.10.120.139, 2017-03-26 19:01:22, GET, /admin/default/index.load, HTTP/1.1, 404, 0.291000
10.10.120.139, 2017-03-26 19:01:22, GET, /admin/default/index, HTTP/1.1, 200, 0.629000
10.10.120.139, 2017-03-26 19:01:23, GET, /admin/default/index, HTTP/1.1, 200, 0.681000
10.10.120.139, 2017-03-26 19:01:23, GET, /admin/default/index, HTTP/1.1, 200, 0.728000
